Pharm~Hosp|ATC1|ATC2|ATC3|ATC4|Crp|MIDAS~Crp|Mnf|Prd|Str|Pck|NFC~1|NFC~2|NFC~3|RX/OTC|Launch~Year|Launch~Date|DDD~Fact|DDD~Unit|Mono~Combi|MOL|[DCKey 1]|[Latest MNF Price]|[Latest Price]|EURO Sales Period|EURO Sales Value|USD Sales Period|USD Sales Value|LC Sales Period|LC Sales Value|Units Period|Units Value|DOT Period|DOT Value
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Nov/01|0|USD Sales Nov/01|0|LC Sales Nov/01|0|Units Nov/01|0|DOT Nov/01|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Dec/01|0|USD Sales Dec/01|0|LC Sales Dec/01|0|Units Dec/01|0|DOT Dec/01|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jan/02|0|USD Sales Jan/02|0|LC Sales Jan/02|0|Units Jan/02|0|DOT Jan/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Feb/02|0|USD Sales Feb/02|0|LC Sales Feb/02|0|Units Feb/02|0|DOT Feb/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Mar/02|0|USD Sales Mar/02|0|LC Sales Mar/02|0|Units Mar/02|0|DOT Mar/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Apr/02|0|USD Sales Apr/02|0|LC Sales Apr/02|0|Units Apr/02|0|DOT Apr/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales May/02|0|USD Sales May/02|0|LC Sales May/02|0|Units May/02|0|DOT May/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jun/02|0|USD Sales Jun/02|0|LC Sales Jun/02|0|Units Jun/02|0|DOT Jun/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jul/02|0|USD Sales Jul/02|0|LC Sales Jul/02|0|Units Jul/02|0|DOT Jul/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Aug/02|0|USD Sales Aug/02|0|LC Sales Aug/02|0|Units Aug/02|0|DOT Aug/02|0
